Data,Temperatura,Umiditatea,Vreme,Perioada,Vant,Activitate seismica,Calitate Aer,Viteza Vant
11:14:39,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:14:50,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:14:58,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:12,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:23,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:34,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:42,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:15:51,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:14,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:23,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:34,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:43,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:16:54,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:03,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:11,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:20,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:36,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:50,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:17:59,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:07,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:16,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:29,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:38,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:46,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:18:55,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:03,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:12,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:20,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:34,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:43,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:19:54,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:20:06,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:20:14,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:20:25,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:20:34,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:20:42,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:20:56,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:21:10,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:21:19,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:21:27,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:21:36,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:21:44,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:21:52,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:22:01,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:22:09,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:22:18,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:22:26,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:22:46,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:22:54,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:23:03,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:23:14,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:23:22,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:23:34,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:23:42,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:23:50,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:24:02,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:24:11,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:24:19,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:24:33,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:24:41,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:24:53,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:25:08,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:25:16,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:25:27,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:25:44,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:25:58,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:26:06,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:26:15,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:26:31,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:26:39,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:26:51,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:26:59,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:27:11,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:27:19,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:27:37,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:27:48,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:27:59,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:28:07,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:28:19,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:28:30,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:28:38,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:28:47,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:28:58,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:29:09,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:29:17,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:29:26,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:29:38,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:29:46,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:29:55,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:30:03,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:30:11,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:30:20,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:30:28,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:30:37,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:30:45,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:31:05,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:31:16,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:31:24,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:31:33,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:31:41,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:31:50,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:31:58,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:32:06,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:32:18,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:32:32,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:32:44,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:32:55,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:33:12,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:33:23,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:33:37,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:33:48,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:33:57,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:34:05,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:34:14,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:34:25,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:34:33,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:34:42,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:34:50,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:35:05,25.0,34.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:35:13,25.0,34.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:35:22,25.0,34.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:35:30,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:35:39,25.0,33.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:35:47,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:35:59,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:36:11,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:36:22,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:36:31,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:36:39,25.0,33.5,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:36:50,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:36:59,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:37:07,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:37:16,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:37:24,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:37:35,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:37:44,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:37:52,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:38:01,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:38:15,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:38:24,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:38:35,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:38:43,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:38:52,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:39:03,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:39:11,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:39:20,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:39:28,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:39:37,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:39:45,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:40:02,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:40:22,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:40:30,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:40:44,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:40:53,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:41:01,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:41:10,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:41:21,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:41:35,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:41:46,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:41:55,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:42:03,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:42:12,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:42:23,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:42:32,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:42:40,25.0,33.25,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:42:48,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:43:00,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:43:09,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:43:17,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:43:26,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:43:34,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:43:45,25.0,33.0,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:43:54,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
11:44:05,25.0,32.75,Senin,Zi,NE------>SV,Inactiv,Normal,5
